"iso3c","date","country","source_id","value"
"AFE",2008,"Africa Eastern and Southern","SPI.D5.2.1.SNAU",NA
"AFE",2008,"Africa Eastern and Southern","SPI.D5.2.10.GSBP",NA
"AFE",2008,"Africa Eastern and Southern","SPI.D5.2.2.NABY",NA
"AFE",2008,"Africa Eastern and Southern","SPI.D5.2.3.CNIN",NA
"AFE",2008,"Africa Eastern and Southern","SPI.D5.2.4.CPIBY",NA
"AFE",2008,"Africa Eastern and Southern","SPI.D5.2.5.HOUS",NA
"AFE",2008,"Africa Eastern and Southern","SPI.D5.2.6.EMPL",NA
"AFE",2008,"Africa Eastern and Southern","SPI.D5.2.7.CGOV",NA
"AFE",2008,"Africa Eastern and Southern","SPI.D5.2.8.FINA",NA
"AFE",2008,"Africa Eastern and Southern","SPI.D5.2.9.MONY",NA
"AFE",2008,"Africa Eastern and Southern","SPI.D5.5.DIFI",NA
"AFE",2008,"Africa Eastern and Southern","SPI.DIM1.5.INDEX",0.23
"AFE",2008,"Africa Eastern and Southern","SPI.DIM2.1.INDEX",NA
"AFE",2008,"Africa Eastern and Southern","SPI.DIM2.2.INDEX",NA
"AFE",2008,"Africa Eastern and Southern","SPI.DIM2.4.INDEX",NA
"AFE",2008,"Africa Eastern and Southern","SPI.DIM3.1.INDEX",0.56
"AFE",2008,"Africa Eastern and Southern","SPI.DIM3.2.INDEX",0.49
